Time,Pearson: DOGE-ETH / PriceUSD,,,
2016-03-04,-0.117928924691565,,,
2016-03-05,-0.121346163976343,,,
2016-03-06,-0.122317379325182,,,
2016-03-07,-0.130590697405859,,,
2016-03-08,-0.130339783837057,,,
2016-03-09,-0.111416538706119,,,
2016-03-10,-0.123089114538416,,,
2016-03-11,-0.123039157397241,,,
2016-03-12,-0.129500915469951,,,
2016-03-13,-0.130398834530061,,,
2016-03-14,-0.119775822736039,,,
2016-03-15,-0.107937869316839,,,
2016-03-16,-0.0969985058225345,,,
2016-03-17,-0.0797805204986291,,,
2016-03-18,-0.0719957913269389,,,
2016-03-19,-0.0798472044229839,,,
2016-03-20,-0.084401773786621,,,
2016-03-21,-0.0857457948793952,,,
2016-03-22,-0.0868650218587401,,,
2016-03-23,-0.106354948593559,,,
