Time,Pearson: BTC-ETH / PriceUSD,,,
2016-05-08,-0.454446964514606,,,
2016-05-09,-0.450848793726182,,,
2016-05-10,-0.435182537699284,,,
2016-05-11,-0.378013691321415,,,
2016-05-12,-0.385333158745369,,,
2016-05-13,-0.379226523766476,,,
2016-05-14,-0.379985604388222,,,
2016-05-15,-0.380551081949075,,,
2016-05-16,-0.407200882863901,,,
2016-05-17,-0.434949854500733,,,
2016-05-18,-0.429233804944102,,,
2016-05-19,-0.448819462272269,,,
2016-05-20,-0.469283265275834,,,
2016-05-21,-0.461729275223207,,,
2016-05-22,-0.472273230106791,,,
2016-05-23,-0.512682134230917,,,
2016-05-24,-0.509784391316326,,,
2016-05-25,-0.51224267882828,,,
2016-05-26,-0.500278743381374,,,
2016-05-27,-0.536470002650502,,,
2016-05-28,-0.259264693853128,,,
2016-05-29,-0.262218561865156,,,
2016-05-30,-0.259009342522762,,,
2016-05-31,-0.264514052008498,,,
2016-06-01,-0.265495677633648,,,
2016-06-02,-0.265465200878522,,,
2016-06-03,-0.257460002657737,,,
2016-06-04,-0.258922269847966,,,
2016-06-05,-0.257901748286488,,,
2016-06-06,-0.265789935382377,,,
2016-06-07,-0.279910044539763,,,
2016-06-08,-0.288612057792049,,,
2016-06-09,-0.284956810742276,,,
2016-06-10,-0.284544762285507,,,
2016-06-11,-0.281204250198456,,,
2016-06-12,-0.12387115432359,,,
2016-06-13,-0.067160014372811,,,
2016-06-14,-0.0820955398221288,,,
2016-06-15,-0.0827926173271895,,,
2016-06-16,0.037418129848813,,,
2016-06-17,0.0997464270713727,,,
2016-06-18,0.0878427930826831,,,
2016-06-19,0.088584235445027,,,
2016-06-20,0.117134432600435,,,
2016-06-21,0.0501489807700407,,,
2016-06-22,0.042059030693749,,,
2016-06-23,0.0561433485760204,,,
2016-06-24,0.063475297371801,,,
2016-06-25,0.0638487290859707,,,
2016-06-26,0.0926374093380423,,,
2016-06-27,0.0959644761775144,,,
2016-06-28,0.104416398881949,,,
2016-06-29,0.127194202207127,,,
2016-06-30,0.117454456530273,,,
2016-07-01,0.146255910503132,,,
2016-07-02,0.146553690075588,,,
2016-07-03,0.154689612304372,,,
2016-07-04,0.151218215065351,,,
2016-07-05,0.166979303475829,,,
2016-07-06,0.166786005781814,,,
2016-07-07,0.179463915300658,,,
2016-07-08,0.195630485539543,,,
2016-07-09,0.201163575680983,,,
2016-07-10,0.20226829899841,,,
2016-07-11,0.203372250950456,,,
2016-07-12,0.203743905969248,,,
2016-07-13,0.204230671526019,,,
2016-07-14,0.199852729072808,,,
2016-07-15,0.215132173552831,,,
2016-07-16,0.224723088320471,,,
2016-07-17,0.226118689397241,,,
2016-07-18,0.253856692501817,,,
2016-07-19,0.252130469930708,,,
2016-07-20,0.243137583906731,,,
2016-07-21,0.243730218993481,,,
2016-07-22,0.207142069656518,,,
2016-07-23,0.205983321838386,,,
2016-07-24,0.202911338133784,,,
2016-07-25,0.193329550037847,,,
2016-07-26,0.216182694910605,,,
2016-07-27,0.194234197271484,,,
2016-07-28,0.197406327768913,,,
2016-07-29,0.196804110370607,,,
2016-07-30,0.20633349461875,,,
2016-07-31,0.216657646187841,,,
2016-08-01,0.227770049479314,,,
2016-08-02,0.347065970873114,,,
2016-08-03,0.406248484449656,,,
2016-08-04,0.410002153370253,,,
2016-08-05,0.41046118655422,,,
2016-08-06,0.412084350048816,,,
2016-08-07,0.412249593563422,,,
2016-08-08,0.41133874938859,,,
2016-08-09,0.406573245529555,,,
2016-08-10,0.406595144333353,,,
2016-08-11,0.381847367085044,,,
2016-08-12,0.362755172762847,,,
2016-08-13,0.373360104083412,,,
2016-08-14,0.376399342733771,,,
2016-08-15,0.33666839929034,,,
2016-08-16,0.335470100941281,,,
2016-08-17,0.397186229493936,,,
2016-08-18,0.393940411255109,,,
2016-08-19,0.385034190040465,,,
2016-08-20,0.466130058742037,,,
2016-08-21,0.524930195129837,,,
2016-08-22,0.521737859974584,,,
2016-08-23,0.520254403719032,,,
2016-08-24,0.520443101733593,,,
2016-08-25,0.521039328603161,,,
2016-08-26,0.522947158007545,,,
2016-08-27,0.532121807143882,,,
2016-08-28,0.536722657467359,,,
2016-08-29,0.56796899629852,,,
2016-08-30,0.570032835669851,,,
2016-08-31,0.584549139025592,,,
2016-09-01,0.592389487015657,,,
2016-09-02,0.608924308769806,,,
2016-09-03,0.581319297027063,,,
2016-09-04,0.577602339089434,,,
2016-09-05,0.577592226602949,,,
2016-09-06,0.555271933110099,,,
2016-09-07,0.55088554497404,,,
2016-09-08,0.541163668184405,,,
2016-09-09,0.53943256037231,,,
2016-09-10,0.548446418965859,,,
2016-09-11,0.552988626040951,,,
2016-09-12,0.558580702756946,,,
2016-09-13,0.556894870582732,,,
2016-09-14,0.557181147930479,,,
2016-09-15,0.575659085247389,,,
2016-09-16,0.573672490819616,,,
2016-09-17,0.576004660778265,,,
2016-09-18,0.584824384270196,,,
2016-09-19,0.581085455411265,,,
2016-09-20,0.639946904788225,,,
2016-09-21,0.649840099403629,,,
2016-09-22,0.679115370053896,,,
2016-09-23,0.699049621171757,,,
2016-09-24,0.729086596280186,,,
2016-09-25,0.739636107655139,,,
2016-09-26,0.735573851876725,,,
2016-09-27,0.734911406742484,,,
2016-09-28,0.735494832511681,,,
2016-09-29,0.734700000711867,,,
2016-09-30,0.726442369710927,,,
2016-10-01,0.542958971059312,,,
2016-10-02,0.0922954393463378,,,
2016-10-03,0.0259811230319655,,,
2016-10-04,0.0273489624729655,,,
2016-10-05,0.040396118395502,,,
2016-10-06,0.0416622461411719,,,
2016-10-07,0.0404334315110143,,,
2016-10-08,0.0744061412626658,,,
2016-10-09,0.080232121139045,,,
2016-10-10,0.0767284337512504,,,
2016-10-11,0.0688945879770101,,,
2016-10-12,0.0614861412153434,,,
2016-10-13,0.0245226932319261,,,
2016-10-14,0.0175199581609122,,,
2016-10-15,0.0185926419462345,,,
2016-10-16,-0.000421955395858496,,,
2016-10-17,-0.000660184497958903,,,
2016-10-18,-0.0189335028763138,,,
2016-10-19,-0.0234580521915316,,,
2016-10-20,-0.0264355259800724,,,
2016-10-21,-0.0238673345547801,,,
2016-10-22,-0.0337173678943877,,,
2016-10-23,-0.0312194015887026,,,
2016-10-24,-0.0211283813660888,,,
2016-10-25,-0.0365875292080387,,,
2016-10-26,-0.0251895571857891,,,
2016-10-27,-0.0222367463771168,,,
2016-10-28,-0.0272892088779968,,,
2016-10-29,-0.116047944791858,,,
2016-10-30,-0.178136932250576,,,
2016-10-31,-0.170332904195375,,,
2016-11-01,-0.18018387070394,,,
2016-11-02,-0.161635064700381,,,
2016-11-03,-0.139213351722006,,,
2016-11-04,-0.118808440373296,,,
2016-11-05,-0.118189053906116,,,
2016-11-06,-0.121420042698564,,,
2016-11-07,-0.108319696509567,,,
2016-11-08,-0.0997704507944265,,,
2016-11-09,-0.107732379797827,,,
2016-11-10,-0.144627023001701,,,
2016-11-11,-0.142239471981461,,,
2016-11-12,-0.114958049064096,,,
2016-11-13,-0.116664363575786,,,
2016-11-14,-0.115376782453014,,,
2016-11-15,-0.109068954723108,,,
2016-11-16,-0.124608600825719,,,
2016-11-17,-0.119934149498459,,,
2016-11-18,-0.127580600300153,,,
2016-11-19,-0.13332948397271,,,
2016-11-20,-0.185305886220354,,,
2016-11-21,-0.198339426405455,,,
2016-11-22,-0.181339748038443,,,
2016-11-23,-0.184943195564433,,,
2016-11-24,-0.15457697013676,,,
2016-11-25,-0.150730434730191,,,
2016-11-26,-0.143494606357529,,,
2016-11-27,-0.11900523318595,,,
2016-11-28,-0.119129990865471,,,
2016-11-29,-0.114855628279698,,,
2016-11-30,-0.0861780019642939,,,
2016-12-01,-0.0870536368970751,,,
2016-12-02,-0.136846153287402,,,
