Time,Pearson: BTC-DOGE / PriceUSD,,,
2014-08-24,0.419632953401846,,,
2014-08-25,0.404160712039243,,,
2014-08-26,0.412565504493878,,,
2014-08-27,0.409252024003247,,,
2014-08-28,0.416964988976973,,,
2014-08-29,0.412665641398675,,,
2014-08-30,0.416241106729556,,,
2014-08-31,0.422750851628552,,,
2014-09-01,0.422332689110395,,,
2014-09-02,0.436930386120039,,,
2014-09-03,0.441815333345683,,,
2014-09-04,0.470112617136399,,,
2014-09-05,0.461485952396555,,,
2014-09-06,0.453923039421853,,,
2014-09-07,0.45165650326136,,,
2014-09-08,0.456119455745884,,,
2014-09-09,0.466826409714403,,,
2014-09-10,0.463514082214081,,,
2014-09-11,0.461211549702291,,,
2014-09-12,0.45751564567179,,,
2014-09-13,0.453012685295042,,,
2014-09-14,0.426876835831001,,,
2014-09-15,0.420384647175735,,,
